timestamp,deep sleep stats - milli breaths per minute,deep sleep stats - standard deviation milli breaths per minute,deep sleep stats - signal to noise,light sleep stats - milli breaths per minute,light sleep stats - standard deviation milli breaths per minute,light sleep stats - signal to noise,rem sleep stats - milli breaths per minute,rem sleep stats - standard deviation milli breaths per minute,rem sleep stats - signal to noise,full sleep stats - milli breaths per minute,full sleep stats - standard deviation milli breaths per minute,full sleep stats - signal to noise,data source
2025-08-13T08:18:30Z,18.4,1.1,14.332,18.0,1.5,10.291,17.0,2.6,6.832,18.4,1.1,14.332,Fitbit App
2025-08-14T08:28:30Z,18.2,1.2,11.719,17.4,1.6,8.83,-1.0,0.0,1.262,18.2,1.2,11.719,Fitbit App
2025-08-15T08:28:00Z,17.6,1.1,9.98,17.4,1.6,9.235,17.6,2.7,6.327,17.6,1.1,9.98,Fitbit App
2025-08-16T08:18:30Z,18.8,1.6,10.539,18.4,1.8,8.116,-1.0,0.0,2.078,18.8,1.6,10.539,Fitbit App
2025-08-17T07:02:00Z,17.4,1.1,9.564,18.0,1.3,7.163,-1.0,0.0,1.758,17.4,1.1,9.564,Fitbit App
2025-08-18T07:28:30Z,17.4,1.6,10.694,17.8,1.6,10.793,17.4,0.7,2.591,17.4,1.6,10.694,Fitbit App
2025-08-19T08:32:30Z,18.2,0.8,7.147,17.6,1.8,11.157,18.2,0.6,3.275,18.2,0.8,7.147,Fitbit App
2025-08-20T08:02:00Z,16.6,1.1,14.24,16.6,2.1,12.205,15.8,0.6,3.183,16.6,1.1,14.24,Fitbit App
2025-08-21T07:56:30Z,17.2,1.1,11.337,16.8,2.0,11.335,16.6,1.8,3.9,17.2,1.1,11.337,Fitbit App
2025-08-22T08:15:30Z,19.6,1.2,9.429,18.8,1.4,5.267,17.0,1.0,3.681,19.6,1.2,9.429,Fitbit App
2025-08-24T08:27:30Z,16.8,1.4,11.253,17.0,1.3,12.374,-1.0,0.0,2.105,16.8,1.4,11.253,Fitbit App
2025-08-25T09:00:30Z,18.4,1.5,7.509,17.4,1.8,7.792,-1.0,0.0,1.817,18.4,1.5,7.509,Fitbit App
2025-08-26T09:25:30Z,20.2,0.7,7.056,19.6,1.7,8.015,-1.0,0.0,1.501,20.2,0.7,7.056,Fitbit App
2025-08-27T09:03:30Z,-1.0,0.0,1.805,-1.0,0.0,2.061,-1.0,0.0,1.558,0.0,0.0,1.805,Fitbit App
2025-08-28T08:07:30Z,20.4,0.8,7.183,29.8,0.2,4.179,-1.0,0.0,1.996,20.4,0.8,7.183,Fitbit App
2025-08-29T03:14:30Z,-1.0,0.0,0.0,18.4,1.5,15.054,-1.0,0.0,2.284,18.4,1.5,15.054,Fitbit App
2025-08-29T08:22:30Z,18.6,1.4,15.082,18.2,1.9,6.867,-1.0,0.0,2.383,18.6,1.4,15.082,Fitbit App
2025-08-30T04:51:30Z,18.6,0.9,6.21,18.0,1.3,10.99,-1.0,0.0,2.182,18.6,0.9,6.21,Fitbit App
2025-08-30T08:39:00Z,18.8,0.8,6.913,17.4,1.8,8.295,-1.0,0.0,1.998,18.8,0.8,6.913,Fitbit App
2025-08-31T08:20:00Z,19.4,1.2,11.148,18.8,2.2,8.053,-1.0,0.0,1.385,19.4,1.2,11.148,Fitbit App
